,Factor0,Factor1,Factor2,Factor3,Factor4
useminutes,0.80567825637365,0.20543739964538385,0.050749582602779335,0.1914162336925437,0.027647298471410838
over_useminutes,0.2890042919521205,0.8477595435477366,0.03155112849791228,0.06683982063090389,0.004589250040684492
over_cost,0.2501199155968113,0.9605846169604156,0.03315894358329655,0.07140036039358931,-0.0005064043801569147
voicecost,0.2536226442007081,0.9549451694787815,0.01195147436411375,0.06564893939089543,0.00023153650970719403
overdata_cost,0.037409997163563954,0.03383809500390496,0.419756255968684,0.04378952778331519,0.009349957131615119
roaming_callcounts,0.04888765125582375,0.022705771733687444,0.010577898926276733,0.013073370923765011,-0.020133114639970324
useminutes_percentchange_before_threemonth,-0.008757914443912948,0.017510204511723783,0.005790364688287704,0.01300650258791504,0.5166494606373377
cost_percentchange_before_threemonth,-0.07928415203667237,-0.013145441664213794,0.008254851770370565,-0.035982569913133644,0.6627040344209113
miss_callcounts,0.6566749073157931,0.09060897518815209,0.02178476385904268,0.3310912627120552,-0.015829215511453817
try_usedata_counts,0.05880627058763379,0.0006612029532567694,0.9838049944499564,0.03888582016944129,-0.006536643218071122
answercounts,0.8034184069128203,0.12615871371972537,0.02075153277690614,0.10186751879327557,0.015050195680442892
complete_usedata_counts,0.060216500219525154,0.00010873659722028921,0.9904896130613454,0.03356958655576788,-0.00729599509931015
customerservice_callcounts,0.18906371766880745,0.023649967380887132,0.04046194177108781,0.8707261947939174,0.005002345987636743
customerservice_useminutes,0.2249199876243902,0.051870274107843346,0.06257018129759133,0.8711831753514483,-0.013344679484813752
conferencecall_counts,0.17467434761930234,0.01890573451018215,0.01572617127557899,0.2195007778899843,-0.012355436203434435
inAndout_callcounts_PVC,0.8525201985223717,0.16457818298024215,0.01864549670647936,0.10565635651745862,-0.018155028928734565
incomplete_minutes_PVC,0.7796798749317152,0.20322033549755053,0.014622683880205965,0.11755940245930181,-0.03578815759214739
callcounts_NPVC,0.7689296580588364,0.1188530942954257,0.0378774700684803,0.18430082154686153,0.03754170135231846
drop_callcounts,0.6810023252216665,0.12308800254713062,0.03431971792323608,0.15387511035802268,-0.01096504225359471
forward_callcounts,0.016426529339900898,0.003313448210967021,0.0042182991542831895,0.004513790814259286,-0.006981490768129022
wait_callcounts,0.45321818698290517,0.053039155914961104,0.006341769542116703,0.1844174443919371,-0.033345275666058126
user_spend_limit,0.10949232687039565,0.03795279685630447,0.02097190076939394,0.2314666227513541,-0.010281710219403209
